src,dst,syn_count,nt,sign,weight
31,1868,26,GABA,-1.0,-3.295836866004329
936,807,6,ACH,1.0,1.9459101490553132
691,1216,9,GABA,-1.0,-2.302585092994046
1537,566,16,GLUT,-1.0,-2.833213344056216
33,23,10,GABA,-1.0,-2.3978952727983707
735,190,9,ACH,1.0,2.302585092994046
99,482,14,GABA,-1.0,-2.70805020110221
552,1409,10,GLUT,-1.0,-2.3978952727983707
749,739,10,ACH,1.0,2.3978952727983707
805,835,14,ACH,1.0,2.70805020110221
208,569,28,ACH,1.0,3.367295829986474
1524,819,26,GABA,-1.0,-3.295836866004329
1194,560,7,ACH,1.0,2.0794415416798357
1644,1703,5,ACH,1.0,1.791759469228055
648,1198,7,ACH,1.0,2.0794415416798357
1109,45,5,GLUT,-1.0,-1.791759469228055
1773,1581,10,ACH,1.0,2.3978952727983707
8,1103,9,GABA,-1.0,-2.302585092994046
330,146,32,GABA,-1.0,-3.4965075614664802
613,885,10,GABA,-1.0,-2.3978952727983707
843,808,18,ACH,1.0,2.9444389791664403
1331,877,11,GABA,-1.0,-2.4849066497880004
909,192,6,GABA,-1.0,-1.9459101490553132
1005,598,10,ACH,1.0,2.3978952727983707
879,1049,7,ACH,1.0,2.0794415416798357
1749,717,5,ACH,1.0,1.791759469228055
232,853,43,ACH,1.0,3.784189633918261
900,176,24,ACH,1.0,3.2188758248682006
1213,1687,9,ACH,1.0,2.302585092994046
1461,451,9,ACH,1.0,2.302585092994046
20,1519,6,GABA,-1.0,-1.9459101490553132
731,835,8,GABA,-1.0,-2.1972245773362196
462,950,22,ACH,1.0,3.1354942159291497
791,630,7,GABA,-1.0,-2.0794415416798357
1315,1836,9,GABA,-1.0,-2.302585092994046
1509,268,14,GABA,-1.0,-2.70805020110221
915,541,5,ACH,1.0,1.791759469228055
1119,831,8,ACH,1.0,2.1972245773362196
1074,1695,8,ACH,1.0,2.1972245773362196
778,861,6,ACH,1.0,1.9459101490553132
1728,414,8,GABA,-1.0,-2.1972245773362196
1469,1836,15,ACH,1.0,2.772588722239781
1765,598,12,GABA,-1.0,-2.5649493574615367
781,1375,19,GABA,-1.0,-2.995732273553991
1443,541,7,ACH,1.0,2.0794415416798357
573,1506,6,GABA,-1.0,-1.9459101490553132
1711,77,10,ACH,1.0,2.3978952727983707
1605,1072,16,GABA,-1.0,-2.833213344056216
189,188,26,GABA,-1.0,-3.295836866004329
1749,598,28,ACH,1.0,3.367295829986474
1386,639,5,GABA,-1.0,-1.791759469228055
1453,232,14,GABA,-1.0,-2.70805020110221
932,1241,8,ACH,1.0,2.1972245773362196
1683,1482,5,ACH,1.0,1.791759469228055
484,743,8,ACH,1.0,2.1972245773362196
1447,1092,12,ACH,1.0,2.5649493574615367
334,390,36,GLUT,-1.0,-3.6109179126442243
200,843,28,GABA,-1.0,-3.367295829986474
1585,701,14,ACH,1.0,2.70805020110221
396,1563,7,ACH,1.0,2.0794415416798357
1760,1543,10,ACH,1.0,2.3978952727983707
1845,182,6,GABA,-1.0,-1.9459101490553132
765,111,69,GABA,-1.0,-4.248495242049359
23,112,7,GABA,-1.0,-2.0794415416798357
378,13,5,GABA,-1.0,-1.791759469228055
874,950,6,GABA,-1.0,-1.9459101490553132
278,414,50,GABA,-1.0,-3.9318256327243257
1415,1012,32,GABA,-1.0,-3.4965075614664802
1582,451,34,GABA,-1.0,-3.5553480614894135
507,1321,12,ACH,1.0,2.5649493574615367
1508,1109,94,GABA,-1.0,-4.553876891600541
894,1359,14,GLUT,-1.0,-2.70805020110221
1560,92,13,ACH,1.0,2.6390573296152584
678,590,5,GABA,-1.0,-1.791759469228055
607,819,11,ACH,1.0,2.4849066497880004
1004,880,10,GABA,-1.0,-2.3978952727983707
479,411,5,ACH,1.0,1.791759469228055
1088,424,43,ACH,1.0,3.784189633918261
1860,1697,9,GABA,-1.0,-2.302585092994046
920,1524,39,ACH,1.0,3.6888794541139363
1569,420,11,ACH,1.0,2.4849066497880004
1783,1165,45,GLUT,-1.0,-3.828641396489095
1642,1695,5,ACH,1.0,1.791759469228055
1867,45,12,GABA,-1.0,-2.5649493574615367
1088,305,9,ACH,1.0,2.302585092994046
1551,702,6,ACH,1.0,1.9459101490553132
701,372,15,ACH,1.0,2.772588722239781
622,1862,9,GABA,-1.0,-2.302585092994046
413,146,18,ACH,1.0,2.9444389791664403
726,278,10,GABA,-1.0,-2.3978952727983707
179,1125,8,ACH,1.0,2.1972245773362196
1497,1577,15,GABA,-1.0,-2.772588722239781
1556,797,6,ACH,1.0,1.9459101490553132
1321,130,8,ACH,1.0,2.1972245773362196
1416,1758,6,ACH,1.0,1.9459101490553132
277,1443,17,GABA,-1.0,-2.8903717578961645
412,1069,19,GABA,-1.0,-2.995732273553991
610,67,11,ACH,1.0,2.4849066497880004
487,1484,12,ACH,1.0,2.5649493574615367
311,1582,9,GLUT,-1.0,-2.302585092994046
292,1531,20,ACH,1.0,3.044522437723423
961,768,8,ACH,1.0,2.1972245773362196
888,319,5,ACH,1.0,1.791759469228055
1011,1109,6,ACH,1.0,1.9459101490553132
1411,1418,5,ACH,1.0,1.791759469228055
1704,175,5,ACH,1.0,1.791759469228055
514,1623,6,GABA,-1.0,-1.9459101490553132
1159,1126,114,ACH,1.0,4.74493212836325
1705,771,31,ACH,1.0,3.4657359027997265
1781,810,5,ACH,1.0,1.791759469228055
1341,1216,12,ACH,1.0,2.5649493574615367
1742,1273,6,ACH,1.0,1.9459101490553132
1606,268,8,ACH,1.0,2.1972245773362196
1227,51,7,ACH,1.0,2.0794415416798357
822,1853,8,ACH,1.0,2.1972245773362196
582,5,26,ACH,1.0,3.295836866004329
1783,498,32,GLUT,-1.0,-3.4965075614664802
1803,805,10,GABA,-1.0,-2.3978952727983707
495,1321,8,ACH,1.0,2.1972245773362196
970,50,6,ACH,1.0,1.9459101490553132
729,1112,13,GABA,-1.0,-2.6390573296152584
200,1848,5,GABA,-1.0,-1.791759469228055
320,1253,5,ACH,1.0,1.791759469228055
198,810,8,ACH,1.0,2.1972245773362196
645,1111,36,ACH,1.0,3.6109179126442243
413,355,29,ACH,1.0,3.4011973816621555
1531,972,7,GABA,-1.0,-2.0794415416798357
765,983,8,GABA,-1.0,-2.1972245773362196
408,64,13,GABA,-1.0,-2.6390573296152584
1605,1069,10,GABA,-1.0,-2.3978952727983707
1297,414,11,ACH,1.0,2.4849066497880004
778,1208,29,ACH,1.0,3.4011973816621555
112,1208,8,GABA,-1.0,-2.1972245773362196
531,1294,35,ACH,1.0,3.58351893845611
1687,114,222,GABA,-1.0,-5.407171771460119
299,1240,29,GLUT,-1.0,-3.4011973816621555
683,1597,7,ACH,1.0,2.0794415416798357
234,92,17,ACH,1.0,2.8903717578961645
731,414,100,GABA,-1.0,-4.61512051684126
199,1057,30,ACH,1.0,3.4339872044851463
1542,1696,37,ACH,1.0,3.6375861597263857
1048,1119,7,ACH,1.0,2.0794415416798357
463,597,23,ACH,1.0,3.1780538303479458
1054,1109,15,GABA,-1.0,-2.772588722239781
517,1844,6,ACH,1.0,1.9459101490553132
1340,643,8,GABA,-1.0,-2.1972245773362196
502,1060,5,ACH,1.0,1.791759469228055
1800,768,27,GABA,-1.0,-3.332204510175204
379,1853,18,ACH,1.0,2.9444389791664403
552,1321,56,GLUT,-1.0,-4.04305126783455
333,810,12,ACH,1.0,2.5649493574615367
1561,920,55,GABA,-1.0,-4.02535169073515
44,754,22,ACH,1.0,3.1354942159291497
584,827,8,ACH,1.0,2.1972245773362196
11,1046,9,GABA,-1.0,-2.302585092994046
881,1057,6,GABA,-1.0,-1.9459101490553132
631,655,5,SER,1.0,1.791759469228055
515,819,10,ACH,1.0,2.3978952727983707
214,1409,31,ACH,1.0,3.4657359027997265
718,521,10,GABA,-1.0,-2.3978952727983707
737,1123,26,GABA,-1.0,-3.295836866004329
768,1702,35,GABA,-1.0,-3.58351893845611
235,1293,26,ACH,1.0,3.295836866004329
1357,1609,11,ACH,1.0,2.4849066497880004
402,1216,6,ACH,1.0,1.9459101490553132
23,1836,72,GABA,-1.0,-4.290459441148391
1445,132,12,GABA,-1.0,-2.5649493574615367
697,1696,10,ACH,1.0,2.3978952727983707
88,841,11,ACH,1.0,2.4849066497880004
981,862,39,ACH,1.0,3.6888794541139363
1858,535,11,ACH,1.0,2.4849066497880004
276,1462,32,GABA,-1.0,-3.4965075614664802
1840,1575,7,ACH,1.0,2.0794415416798357
1007,355,5,ACH,1.0,1.791759469228055
1752,946,8,SER,1.0,2.1972245773362196
725,421,9,ACH,1.0,2.302585092994046
1840,1421,7,ACH,1.0,2.0794415416798357
1538,1752,12,GABA,-1.0,-2.5649493574615367
1754,1540,138,GABA,-1.0,-4.9344739331306915
1622,1293,6,GABA,-1.0,-1.9459101490553132
1709,536,5,ACH,1.0,1.791759469228055
343,1185,10,ACH,1.0,2.3978952727983707
1781,1199,14,ACH,1.0,2.70805020110221
1676,126,11,GABA,-1.0,-2.4849066497880004
939,9,25,GABA,-1.0,-3.258096538021482
1238,464,5,ACH,1.0,1.791759469228055
168,1597,21,GABA,-1.0,-3.091042453358316
1292,1176,41,ACH,1.0,3.7376696182833684
261,1109,9,ACH,1.0,2.302585092994046
731,1084,7,GABA,-1.0,-2.0794415416798357
1058,114,5,ACH,1.0,1.791759469228055
1471,47,8,ACH,1.0,2.1972245773362196
638,1722,19,ACH,1.0,2.995732273553991
1602,1512,20,ACH,1.0,3.044522437723423
126,1863,21,ACH,1.0,3.091042453358316
1149,1072,16,GABA,-1.0,-2.833213344056216
1316,1212,8,ACH,1.0,2.1972245773362196
1469,1809,7,ACH,1.0,2.0794415416798357
1334,1775,23,ACH,1.0,3.1780538303479458
1592,1453,6,ACH,1.0,1.9459101490553132
607,236,7,ACH,1.0,2.0794415416798357
1273,299,20,GABA,-1.0,-3.044522437723423
464,1454,5,ACH,1.0,1.791759469228055
1866,299,5,ACH,1.0,1.791759469228055
1654,1486,7,ACH,1.0,2.0794415416798357
1078,1665,8,ACH,1.0,2.1972245773362196
222,1137,6,ACH,1.0,1.9459101490553132
457,830,18,ACH,1.0,2.9444389791664403
1501,1846,8,ACH,1.0,2.1972245773362196
408,1683,8,GABA,-1.0,-2.1972245773362196
1634,1637,7,ACH,1.0,2.0794415416798357
1819,551,5,ACH,1.0,1.791759469228055
563,850,10,GABA,-1.0,-2.3978952727983707
1834,932,10,ACH,1.0,2.3978952727983707
1378,337,9,DA,1.0,2.302585092994046
1863,1311,7,GABA,-1.0,-2.0794415416798357
781,1417,5,GABA,-1.0,-1.791759469228055
242,810,12,GABA,-1.0,-2.5649493574615367
1615,462,49,ACH,1.0,3.912023005428146
1121,208,5,GABA,-1.0,-1.791759469228055
1678,1605,6,ACH,1.0,1.9459101490553132
1043,1570,25,GLUT,-1.0,-3.258096538021482
1623,208,16,ACH,1.0,2.833213344056216
1659,235,27,GABA,-1.0,-3.332204510175204
568,1069,11,ACH,1.0,2.4849066497880004
1270,1744,27,GABA,-1.0,-3.332204510175204
149,1363,46,ACH,1.0,3.8501476017100584
506,523,19,ACH,1.0,2.995732273553991
1233,1570,43,GABA,-1.0,-3.784189633918261
399,376,25,ACH,1.0,3.258096538021482
446,204,49,ACH,1.0,3.912023005428146
145,1389,21,ACH,1.0,3.091042453358316
1739,612,21,ACH,1.0,3.091042453358316
756,1386,8,ACH,1.0,2.1972245773362196
428,1619,18,ACH,1.0,2.9444389791664403
592,1540,170,ACH,1.0,5.14166355650266
886,29,6,ACH,1.0,1.9459101490553132
14,700,42,GLUT,-1.0,-3.7612001156935624
1023,916,60,GLUT,-1.0,-4.110873864173311
1125,1109,18,GABA,-1.0,-2.9444389791664403
698,6,5,GABA,-1.0,-1.791759469228055
917,1619,17,ACH,1.0,2.8903717578961645
1162,638,8,ACH,1.0,2.1972245773362196
543,560,63,ACH,1.0,4.1588830833596715
311,282,46,GLUT,-1.0,-3.8501476017100584
613,1562,8,GABA,-1.0,-2.1972245773362196
239,608,8,ACH,1.0,2.1972245773362196
1620,846,41,GABA,-1.0,-3.7376696182833684
46,1019,14,ACH,1.0,2.70805020110221
551,821,9,ACH,1.0,2.302585092994046
1783,216,14,GLUT,-1.0,-2.70805020110221
1553,25,11,ACH,1.0,2.4849066497880004
1445,298,12,GABA,-1.0,-2.5649493574615367
1223,523,20,ACH,1.0,3.044522437723423
843,1347,13,ACH,1.0,2.6390573296152584
1628,1002,6,ACH,1.0,1.9459101490553132
20,975,6,GABA,-1.0,-1.9459101490553132
847,1081,7,ACH,1.0,2.0794415416798357
773,1665,12,ACH,1.0,2.5649493574615367
815,1147,34,GABA,-1.0,-3.5553480614894135
477,1655,9,ACH,1.0,2.302585092994046
294,784,10,ACH,1.0,2.3978952727983707
1548,1269,80,GABA,-1.0,-4.394449154672439
597,1581,7,ACH,1.0,2.0794415416798357
1298,296,8,ACH,1.0,2.1972245773362196
1074,784,15,ACH,1.0,2.772588722239781
366,1862,12,GABA,-1.0,-2.5649493574615367
1079,1869,14,ACH,1.0,2.70805020110221
1846,92,8,GABA,-1.0,-2.1972245773362196
678,38,5,GABA,-1.0,-1.791759469228055
1170,810,41,GABA,-1.0,-3.7376696182833684
517,877,80,ACH,1.0,4.394449154672439
1342,1863,14,GLUT,-1.0,-2.70805020110221
1020,512,11,ACH,1.0,2.4849066497880004
29,168,17,ACH,1.0,2.8903717578961645
955,612,23,GABA,-1.0,-3.1780538303479458
552,1812,13,GLUT,-1.0,-2.6390573296152584
1783,438,22,GLUT,-1.0,-3.1354942159291497
582,639,41,ACH,1.0,3.7376696182833684
1280,623,21,ACH,1.0,3.091042453358316
1618,1045,20,GABA,-1.0,-3.044522437723423
618,471,6,GABA,-1.0,-1.9459101490553132
1381,381,6,GABA,-1.0,-1.9459101490553132
1540,1772,12,GLUT,-1.0,-2.5649493574615367
1613,3,16,GABA,-1.0,-2.833213344056216
1480,1338,25,ACH,1.0,3.258096538021482
522,819,6,GABA,-1.0,-1.9459101490553132
239,1269,10,ACH,1.0,2.3978952727983707
358,214,9,ACH,1.0,2.302585092994046
951,23,187,GABA,-1.0,-5.236441962829949
1341,1304,31,ACH,1.0,3.4657359027997265
242,921,20,GABA,-1.0,-3.044522437723423
38,1049,5,GABA,-1.0,-1.791759469228055
1709,1039,8,ACH,1.0,2.1972245773362196
1617,1345,8,ACH,1.0,2.1972245773362196
541,969,7,ACH,1.0,2.0794415416798357
1569,1553,6,ACH,1.0,1.9459101490553132
1417,1311,17,ACH,1.0,2.8903717578961645
477,1638,8,ACH,1.0,2.1972245773362196
1060,14,5,ACH,1.0,1.791759469228055
1533,351,5,ACH,1.0,1.791759469228055
37,805,6,GABA,-1.0,-1.9459101490553132
1185,1121,10,ACH,1.0,2.3978952727983707
1763,1325,58,ACH,1.0,4.07753744390572
482,827,31,ACH,1.0,3.4657359027997265
1679,853,33,ACH,1.0,3.5263605246161616
37,378,8,GABA,-1.0,-2.1972245773362196
51,1345,33,GABA,-1.0,-3.5263605246161616
1666,1807,8,ACH,1.0,2.1972245773362196
465,831,7,GABA,-1.0,-2.0794415416798357
560,1710,22,GABA,-1.0,-3.1354942159291497
1695,1697,10,ACH,1.0,2.3978952727983707
150,955,7,ACH,1.0,2.0794415416798357
1465,647,5,ACH,1.0,1.791759469228055
950,1216,30,ACH,1.0,3.4339872044851463
1626,1437,19,ACH,1.0,2.995732273553991
1392,953,7,ACH,1.0,2.0794415416798357
752,1160,5,ACH,1.0,1.791759469228055
1655,20,67,ACH,1.0,4.219507705176107
1315,1461,40,GABA,-1.0,-3.713572066704308
1559,1354,17,GABA,-1.0,-2.8903717578961645
1593,194,138,ACH,1.0,4.9344739331306915
851,86,43,GABA,-1.0,-3.784189633918261
827,1481,5,GLUT,-1.0,-1.791759469228055
552,1411,55,GLUT,-1.0,-4.02535169073515
17,947,11,ACH,1.0,2.4849066497880004
1447,1619,5,ACH,1.0,1.791759469228055
1169,385,7,OCT,1.0,2.0794415416798357
1563,1596,5,ACH,1.0,1.791759469228055
451,1453,33,ACH,1.0,3.5263605246161616
1158,1376,23,GABA,-1.0,-3.1780538303479458
775,625,6,ACH,1.0,1.9459101490553132
551,239,14,ACH,1.0,2.70805020110221
1375,1869,5,GLUT,-1.0,-1.791759469228055
514,1161,8,GABA,-1.0,-2.1972245773362196
201,338,34,ACH,1.0,3.5553480614894135
1119,873,133,ACH,1.0,4.897839799950911
1009,821,9,ACH,1.0,2.302585092994046
1508,805,7,GABA,-1.0,-2.0794415416798357
145,1655,9,ACH,1.0,2.302585092994046
1744,1341,8,GABA,-1.0,-2.1972245773362196
1582,463,6,GABA,-1.0,-1.9459101490553132
1390,1812,13,ACH,1.0,2.6390573296152584
731,33,26,GABA,-1.0,-3.295836866004329
469,884,6,GABA,-1.0,-1.9459101490553132
517,904,8,ACH,1.0,2.1972245773362196
621,1653,9,ACH,1.0,2.302585092994046
1329,182,5,ACH,1.0,1.791759469228055
1081,1085,10,ACH,1.0,2.3978952727983707
235,1868,12,ACH,1.0,2.5649493574615367
219,493,11,ACH,1.0,2.4849066497880004
1806,598,51,ACH,1.0,3.9512437185814275
24,219,15,GABA,-1.0,-2.772588722239781
1204,1359,9,GABA,-1.0,-2.302585092994046
1149,1362,8,GABA,-1.0,-2.1972245773362196
432,626,15,ACH,1.0,2.772588722239781
146,561,32,ACH,1.0,3.4965075614664802
1331,810,5,GABA,-1.0,-1.791759469228055
1544,464,17,ACH,1.0,2.8903717578961645
1347,165,7,ACH,1.0,2.0794415416798357
1676,304,6,GABA,-1.0,-1.9459101490553132
1615,765,18,ACH,1.0,2.9444389791664403
385,1807,66,ACH,1.0,4.204692619390966
675,69,12,ACH,1.0,2.5649493574615367
1133,1849,14,GABA,-1.0,-2.70805020110221
1365,338,11,ACH,1.0,2.4849066497880004
1581,184,32,GABA,-1.0,-3.4965075614664802
1835,435,5,ACH,1.0,1.791759469228055
520,1575,5,ACH,1.0,1.791759469228055
884,1119,17,ACH,1.0,2.8903717578961645
1453,1639,14,GABA,-1.0,-2.70805020110221
935,1764,7,ACH,1.0,2.0794415416798357
791,1121,26,GABA,-1.0,-3.295836866004329
1461,1702,29,ACH,1.0,3.4011973816621555
1049,1443,6,ACH,1.0,1.9459101490553132
31,909,35,GABA,-1.0,-3.58351893845611
1306,565,19,ACH,1.0,2.995732273553991
1549,1619,6,ACH,1.0,1.9459101490553132
