idx,root_id,primary_type,additional_type,super_class,role
1804,720575940644279319,DNpe028,IB046,descending,output
1805,720575940644400675,CB3715,,central,interneuron
1806,720575940644447511,CB1638,,central,interneuron
1807,720575940644465568,LTe20,,visual_projection,interneuron
1808,720575940644473760,DNg84,,descending,output
1809,720575940644488727,CB0104,SAD_pr01,central,interneuron
1810,720575940644532078,LPC1,,visual_projection,interneuron
1811,720575940644635172,JO-B,,sensory,input_wind
1812,720575940644968302,CB0264,,central,interneuron
1813,720575940645085975,JO-B,,sensory,input_wind
1814,720575940645086999,JO-B,,sensory,input_wind
1815,720575940645087511,JO-B,,sensory,input_wind
1816,720575940645089559,JO-B,,sensory,input_wind
1817,720575940645180196,LPLC2,,visual_projection,input_vision
1818,720575940645258606,DNp59,CL247,descending,interneuron
1819,720575940645328436,LPLC2,,visual_projection,input_vision
1820,720575940645336100,LPLC4,,visual_projection,interneuron
1821,720575940645404695,AVLP430,,central,interneuron
1822,720575940645407268,LPLC2,,visual_projection,input_vision
1823,720575940645539694,JO-B,,sensory,input_wind
1824,720575940645556334,DNg81,,descending,output
1825,720575940645699124,LPLC2,,visual_projection,input_vision
1826,720575940645739044,SAD080,,central,interneuron
1827,720575940645821316,LC4,,visual_projection,interneuron
1828,720575940645888547,Y11,,optic,interneuron
1829,720575940646032931,AMMC028,,central,interneuron
1830,720575940646056500,CB2067,,central,interneuron
1831,720575940646225204,AVLP259,,central,interneuron
1832,720575940646341486,CB3673,B1,central,interneuron
1833,720575940646362403,JO-B,,sensory,input_wind
1834,720575940646400644,CB2153,B1-5,central,interneuron
1835,720575940646414132,LPLC4,,visual_projection,interneuron
1836,720575940646521198,CB0591,,central,interneuron
1837,720575940646735668,JO-C,,sensory,input_wind
1838,720575940647029044,DNg105,,descending,output
1839,720575940647100548,CB1038,,central,interneuron
1840,720575940647358243,LPLC2,,visual_projection,input_vision
1841,720575940647369507,LPLC2,,visual_projection,input_vision
1842,720575940647441955,CB1038,,central,interneuron
1843,720575940647586948,DNge050,,descending,output
1844,720575940647606660,CB3024,,central,interneuron
1845,720575940647952948,SAD013,,central,interneuron
1846,720575940647966260,PVLP024,,central,interneuron
1847,720575940648418425,LPLC2,,visual_projection,input_vision
1848,720575940649120121,CB3480,,central,interneuron
1849,720575940649229433,LC4,,visual_projection,interneuron
1850,720575940649809273,DNg56,,descending,output
1851,720575940651421686,LPLC4,,visual_projection,interneuron
1852,720575940651593974,CB1538,,central,interneuron
1853,720575940651833078,CB2917,,central,interneuron
1854,720575940652554657,PLP163,,central,interneuron
1855,720575940652611745,LC4,,visual_projection,interneuron
1856,720575940652813217,CB2380,aLN/al,central,interneuron
1857,720575940653172726,LPLC4,,visual_projection,interneuron
1858,720575940653346038,CL309,,central,interneuron
1859,720575940653666465,LPLC2,,visual_projection,input_vision
